student_no,name,class_name,major,grade_year
2021001,张三,计算机2101,计算机科学与技术,2021
2021002,李四,计算机2101,计算机科学与技术,2021
2021003,王五,计算机2101,计算机科学与技术,2021
2021004,赵六,计算机2101,计算机科学与技术,2021
2021005,钱七,计算机2101,计算机科学与技术,2021
2021006,孙八,计算机2101,计算机科学与技术,2021
2021007,周九,计算机2101,计算机科学与技术,2021
2021008,吴十,计算机2101,计算机科学与技术,2021
2021009,郑十一,计算机2101,计算机科学与技术,2021
2021010,王十二,计算机2101,计算机科学与技术,2021
2021011,李十三,计算机2101,计算机科学与技术,2021
2021012,刘十四,计算机2101,计算机科学与技术,2021
2021013,陈十五,计算机2101,计算机科学与技术,2021
2021014,杨十六,计算机2101,计算机科学与技术,2021
2021015,赵十七,计算机2101,计算机科学与技术,2021
2021016,钱十八,计算机2101,计算机科学与技术,2021
2021017,孙十九,计算机2101,计算机科学与技术,2021
2021018,周二十,计算机2101,计算机科学与技术,2021
2021019,吴二一,计算机2101,计算机科学与技术,2021
2021020,郑二二,计算机2101,计算机科学与技术,2021
2021021,王二三,计算机2102,计算机科学与技术,2021
2021022,李二四,计算机2102,计算机科学与技术,2021
2021023,刘二五,计算机2102,计算机科学与技术,2021
2021024,陈二六,计算机2102,计算机科学与技术,2021
2021025,杨二七,计算机2102,计算机科学与技术,2021
2021026,赵二八,计算机2102,计算机科学与技术,2021
2021027,钱二九,计算机2102,计算机科学与技术,2021
2021028,孙三十,计算机2102,计算机科学与技术,2021
2021029,周三一,计算机2102,计算机科学与技术,2021
2021030,吴三二,计算机2102,计算机科学与技术,2021
